period,origin_code,origin,destination_code,destination,people,male,female,level,source_status,source_endpoint
202605,2800000000,인천광역시,2700000000,대구광역시,130,77,53,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2800000000,인천광역시,17139,8738,8401,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2900000000,광주광역시,117,78,39,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3000000000,대전광역시,212,115,97,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3100000000,울산광역시,64,37,27,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3600000000,세종특별자치시,74,45,29,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4100000000,경기도,4518,2422,2096,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4300000000,충청북도,270,151,119,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4400000000,충청남도,620,373,247,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4600000000,전라남도,188,114,74,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4700000000,경상북도,309,184,125,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4800000000,경상남도,200,109,91,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5000000000,제주특별자치도,142,70,72,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5100000000,강원특별자치도,380,213,167,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,5200000000,전북특별자치도,250,143,107,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,1100000000,서울특별시,664,321,343,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2600000000,부산광역시,105,52,53,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2700000000,대구광역시,37,22,15,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2800000000,인천광역시,152,82,70,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,2900000000,광주광역시,9549,4746,4803,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3000000000,대전광역시,136,76,60,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3100000000,울산광역시,28,19,9,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,3600000000,세종특별자치시,31,19,12,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4100000000,경기도,640,346,294,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4300000000,충청북도,103,59,44,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4400000000,충청남도,164,85,79,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4600000000,전라남도,1947,1003,944,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4700000000,경상북도,68,43,25,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,4800000000,경상남도,71,48,23,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5000000000,제주특별자치도,66,40,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5100000000,강원특별자치도,57,26,31,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2900000000,광주광역시,5200000000,전북특별자치도,386,214,172,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,1100000000,서울특별시,944,472,472,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2600000000,부산광역시,148,75,73,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2700000000,대구광역시,156,84,72,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2800000000,인천광역시,194,117,77,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,2900000000,광주광역시,99,50,49,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,3000000000,대전광역시,7972,3966,4006,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,3100000000,울산광역시,53,26,27,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,3600000000,세종특별자치시,445,234,211,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4100000000,경기도,932,554,378,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4300000000,충청북도,681,374,307,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4400000000,충청남도,967,523,444,sido,official_mois,ppltnDataStus/selectPpltnDataStus
