origin,destination,people,reason_group,source_status,period,origin_code,destination_code
경기도,제주특별자치도,561,population_movement,official_mois,202605,4100000000,5000000000
울산광역시,경상북도,554,population_movement,official_mois,202605,3100000000,4700000000
서울특별시,광주광역시,553,population_movement,official_mois,202605,1100000000,2900000000
대구광역시,경상남도,542,population_movement,official_mois,202605,2700000000,4800000000
충청남도,인천광역시,537,population_movement,official_mois,202605,4400000000,2800000000
서울특별시,제주특별자치도,534,population_movement,official_mois,202605,1100000000,5000000000
제주특별자치도,경기도,530,population_movement,official_mois,202605,5000000000,4100000000
충청북도,충청남도,527,population_movement,official_mois,202605,4300000000,4400000000
울산광역시,경상남도,490,population_movement,official_mois,202605,3100000000,4800000000
전북특별자치도,광주광역시,475,population_movement,official_mois,202605,5200000000,2900000000
세종특별자치시,대전광역시,465,population_movement,official_mois,202605,3600000000,3000000000
경상북도,울산광역시,455,population_movement,official_mois,202605,4700000000,3100000000
대전광역시,세종특별자치시,445,population_movement,official_mois,202605,3000000000,3600000000
경상남도,울산광역시,432,population_movement,official_mois,202605,4800000000,3100000000
전북특별자치도,충청남도,424,population_movement,official_mois,202605,5200000000,4400000000
충청남도,전북특별자치도,400,population_movement,official_mois,202605,4400000000,5200000000
광주광역시,전북특별자치도,386,population_movement,official_mois,202605,2900000000,5200000000
경기도,세종특별자치시,384,population_movement,official_mois,202605,4100000000,3600000000
울산광역시,서울특별시,382,population_movement,official_mois,202605,3100000000,1100000000
부산광역시,대구광역시,381,population_movement,official_mois,202605,2600000000,2700000000
대구광역시,부산광역시,381,population_movement,official_mois,202605,2700000000,2600000000
인천광역시,강원특별자치도,380,population_movement,official_mois,202605,2800000000,5100000000
울산광역시,경기도,374,population_movement,official_mois,202605,3100000000,4100000000
세종특별자치시,경기도,353,population_movement,official_mois,202605,3600000000,4100000000
전북특별자치도,대전광역시,353,population_movement,official_mois,202605,5200000000,3000000000
세종특별자치시,서울특별시,346,population_movement,official_mois,202605,3600000000,1100000000
전라남도,전북특별자치도,345,population_movement,official_mois,202605,4600000000,5200000000
경상북도,충청북도,339,population_movement,official_mois,202605,4700000000,4300000000
인천광역시,경상북도,309,population_movement,official_mois,202605,2800000000,4700000000
세종특별자치시,충청남도,309,population_movement,official_mois,202605,3600000000,4400000000
경상북도,충청남도,308,population_movement,official_mois,202605,4700000000,4400000000
세종특별자치시,충청북도,302,population_movement,official_mois,202605,3600000000,4300000000
서울특별시,세종특별자치시,296,population_movement,official_mois,202605,1100000000,3600000000
강원특별자치도,충청북도,289,population_movement,official_mois,202605,5100000000,4300000000
경기도,울산광역시,284,population_movement,official_mois,202605,4100000000,3100000000
서울특별시,울산광역시,282,population_movement,official_mois,202605,1100000000,3100000000
충청북도,경상북도,281,population_movement,official_mois,202605,4300000000,4700000000
강원특별자치도,인천광역시,273,population_movement,official_mois,202605,5100000000,2800000000
전북특별자치도,전라남도,273,population_movement,official_mois,202605,5200000000,4600000000
경상남도,충청남도,273,population_movement,official_mois,202605,4800000000,4400000000
인천광역시,충청북도,270,population_movement,official_mois,202605,2800000000,4300000000
충청북도,강원특별자치도,262,population_movement,official_mois,202605,4300000000,5100000000
경상북도,대전광역시,262,population_movement,official_mois,202605,4700000000,3000000000
충청남도,경상북도,260,population_movement,official_mois,202605,4400000000,4700000000
대전광역시,전북특별자치도,258,population_movement,official_mois,202605,3000000000,5200000000
전라남도,경상남도,255,population_movement,official_mois,202605,4600000000,4800000000
인천광역시,전북특별자치도,250,population_movement,official_mois,202605,2800000000,5200000000
울산광역시,대구광역시,249,population_movement,official_mois,202605,3100000000,2700000000
충청남도,세종특별자치시,249,population_movement,official_mois,202605,4400000000,3600000000
경상남도,전라남도,241,population_movement,official_mois,202605,4800000000,4600000000
부산광역시,인천광역시,239,population_movement,official_mois,202605,2600000000,2800000000
충청남도,경상남도,236,population_movement,official_mois,202605,4400000000,4800000000
