period,region_code,region,in_migrants_total,out_migrants_total,net_migration,within_sido_within_sigungu,within_sido_between_sigungu_in,within_sido_between_sigungu_out,between_sido_in,between_sido_out,source_status,source_table
202603,30,대전광역시,19906,19595,311,4989,5803,5803,9114,8803,official_kosis,DT_1B26001_A01
202603,31,울산광역시,10599,11742,-1143,3195,3380,3380,4024,5167,official_kosis,DT_1B26001_A01
202603,36,세종특별자치시,4865,5175,-310,1599,0,0,3266,3576,official_kosis,DT_1B26001_A01
202603,41,경기도,162769,160604,2165,58711,47894,47894,56164,53999,official_kosis,DT_1B26001_A01
202603,43,충청북도,20712,19179,1533,8633,2536,2536,9543,8010,official_kosis,DT_1B26001_A01
202603,44,충청남도,26465,25064,1401,8840,4611,4611,13014,11613,official_kosis,DT_1B26001_A01
202603,46,전라남도,17155,17733,-578,5805,4025,4025,7325,7903,official_kosis,DT_1B26001_A01
202603,47,경상북도,27305,27241,64,9071,5458,5458,12776,12712,official_kosis,DT_1B26001_A01
202603,48,경상남도,33912,35560,-1648,14602,7395,7395,11915,13563,official_kosis,DT_1B26001_A01
202603,50,제주특별자치도,7864,8111,-247,4000,789,789,3075,3322,official_kosis,DT_1B26001_A01
202603,51,강원특별자치도,19227,18478,749,7651,3530,3530,8046,7297,official_kosis,DT_1B26001_A01
202603,52,전북특별자치도,19453,19752,-299,8198,4659,4659,6596,6895,official_kosis,DT_1B26001_A01
202604,00,전국,506067,506067,0,176088,151472,151472,178507,178507,official_kosis,DT_1B26001_A01
202604,11,서울특별시,105091,111432,-6341,27698,42905,42905,34488,40829,official_kosis,DT_1B26001_A01
202604,26,부산광역시,28257,29297,-1040,7934,12266,12266,8057,9097,official_kosis,DT_1B26001_A01
202604,27,대구광역시,21823,22247,-424,6212,8775,8775,6836,7260,official_kosis,DT_1B26001_A01
202604,28,인천광역시,30104,29128,976,9581,8283,8283,12240,11264,official_kosis,DT_1B26001_A01
202604,29,광주광역시,15142,16055,-913,5291,5403,5403,4448,5361,official_kosis,DT_1B26001_A01
202604,30,대전광역시,14740,14827,-87,4038,4608,4608,6094,6181,official_kosis,DT_1B26001_A01
202604,31,울산광역시,8756,9414,-658,2927,2909,2909,2920,3578,official_kosis,DT_1B26001_A01
202604,36,세종특별자치시,3671,3853,-182,1260,0,0,2411,2593,official_kosis,DT_1B26001_A01
202604,41,경기도,142610,138813,3797,53621,42775,42775,46214,42417,official_kosis,DT_1B26001_A01
202604,43,충청북도,15649,14004,1645,6628,1846,1846,7175,5530,official_kosis,DT_1B26001_A01
202604,44,충청남도,21777,20409,1368,8122,3499,3499,10156,8788,official_kosis,DT_1B26001_A01
202604,46,전라남도,14427,13823,604,5118,2959,2959,6350,5746,official_kosis,DT_1B26001_A01
202604,47,경상북도,21047,20949,98,8002,3762,3762,9283,9185,official_kosis,DT_1B26001_A01
202604,48,경상남도,25849,25686,163,12291,4884,4884,8674,8511,official_kosis,DT_1B26001_A01
202604,50,제주특별자치도,6311,6185,126,3217,674,674,2420,2294,official_kosis,DT_1B26001_A01
202604,51,강원특별자치도,14994,14215,779,6657,2346,2346,5991,5212,official_kosis,DT_1B26001_A01
202604,52,전북특별자치도,15819,15730,89,7491,3578,3578,4750,4661,official_kosis,DT_1B26001_A01
202605,00,전국,466180,466180,0,162120,140859,140859,163201,163201,official_kosis,DT_1B26001_A01
202605,11,서울특별시,95905,100126,-4221,25004,38802,38802,32099,36320,official_kosis,DT_1B26001_A01
202605,26,부산광역시,27214,27621,-407,7601,11755,11755,7858,8265,official_kosis,DT_1B26001_A01
202605,27,대구광역시,22480,22204,276,6203,9394,9394,6883,6607,official_kosis,DT_1B26001_A01
202605,28,인천광역시,28617,27380,1237,9212,7893,7893,11512,10275,official_kosis,DT_1B26001_A01
202605,29,광주광역시,14045,14184,-139,4627,4907,4907,4511,4650,official_kosis,DT_1B26001_A01
202605,30,대전광역시,13975,13462,513,3793,4172,4172,6010,5497,official_kosis,DT_1B26001_A01
202605,31,울산광역시,8178,8824,-646,2629,2762,2762,2787,3433,official_kosis,DT_1B26001_A01
202605,36,세종특별자치시,3361,3475,-114,1246,0,0,2115,2229,official_kosis,DT_1B26001_A01
202605,41,경기도,130658,128225,2433,49371,40042,40042,41245,38812,official_kosis,DT_1B26001_A01
202605,43,충청북도,15284,14184,1100,7046,1847,1847,6391,5291,official_kosis,DT_1B26001_A01
202605,44,충청남도,19491,18207,1284,7296,3068,3068,9127,7843,official_kosis,DT_1B26001_A01
202605,46,전라남도,12644,13001,-357,4747,2735,2735,5162,5519,official_kosis,DT_1B26001_A01
202605,47,경상북도,18906,19569,-663,7455,3272,3272,8179,8842,official_kosis,DT_1B26001_A01
202605,48,경상남도,22910,23300,-390,10708,4336,4336,7866,8256,official_kosis,DT_1B26001_A01
202605,50,제주특별자치도,5741,5968,-227,3057,559,559,2125,2352,official_kosis,DT_1B26001_A01
202605,51,강원특별자치도,12950,12408,542,5526,2222,2222,5202,4660,official_kosis,DT_1B26001_A01
202605,52,전북특별자치도,13821,14042,-221,6599,3093,3093,4129,4350,official_kosis,DT_1B26001_A01
